stateID,stateAbbrev,stateCaps,stateCase
1,AL,ALABAMA,Alabama
2,AK,ALASKA,Alaska
3,AZ,ARIZONA,Arizona
4,AR,ARKANSAS,Arkansas
5,CA,CALIFORNIA,California
6,CO,COLORADO,Colorado
7,CT,CONNECTICUT,Connecticut
8,DE,DELAWARE,Delaware
9,FL,FLORIDA,Florida
10,GA,GEORGIA,Georgia
11,HI,HAWAII,Hawaii
12,ID,IDAHO,Idaho
13,IL,ILLINOIS,Illinois
14,IN,INDIANA,Indiana
15,IA,IOWA,Iowa
16,KS,KANSAS,Kansas
17,KY,KENTUCKY,Kentucky
18,LA,LOUISIANA,Louisiana
19,ME,MAINE,Maine
20,MD,MARYLAND,Maryland
21,MA,MASSACHUSETTS,Massachusetts
22,MI,MICHIGAN,Michigan
23,MN,MINNESOTA,Minnesota
24,MS,MISSISSIPPI,Mississippi
25,MO,MISSOURI,Missouri
26,MT,MONTANA,Montana
27,NE,NEBRASKA,Nebraska
28,NV,NEVADA,Nevada
29,NH,NEW HAMPSHIRE,New Hampshire
30,NJ,NEW JERSEY,New Jersey
31,NM,NEW MEXICO,New Mexico
32,NY,NEW YORK,New York
33,NC,NORTH CAROLINA,North Carolina
34,ND,NORTH DAKOTA,North Dakota
35,OH,OHIO,Ohio
36,OK,OKLAHOMA,Oklahoma
37,OR,OREGON,Oregon
38,PA,PENNSYLVANIA,Pennsylvania
39,RI,RHODE ISLAND,Rhode Island
40,SC,SOUTH CAROLINA,South Carolina
41,SD,SOUTH DAKOTA,South Dakota
42,TN,TENNESSEE,Tennessee
43,TX,TEXAS,Texas
44,UT,UTAH,Utah
45,VT,VERMONT,Vermont
46,VA,VIRGINIA,Virginia
47,WA,WASHINGTON,Washington
48,WV,WEST VIRGINIA,West Virginia
49,WI,WISCONSIN,Wisconsin
50,WY,WYOMING,Wyoming
